dt,open,high,low,close,volume
2019-01-02,139.1,155.37,137.76,152.01,941486.31524
2019-01-03,152.01,153.64,143.11,146.3,708091.31714
2019-01-04,146.3,154.8,143.54,151.97,805248.93821
2019-01-05,152.08,159.26,151.2,152.83,773169.13736
2019-01-06,152.83,157.4,147.51,153.86,627908.47366
2019-01-07,153.89,155.48,147.86,149.34,424765.30258
2019-01-08,149.29,151.65,145.2,147.6,441661.06778
2019-01-09,147.62,151.5,146.77,148.1,299443.563
2019-01-10,148.11,149.45,121.0,124.95,871751.75038
2019-01-11,124.96,127.36,120.08,124.65,545293.98369
2019-01-12,124.67,126.19,122.0,123.35,300262.13404
2019-01-13,123.35,124.25,111.87,114.16,422561.96777
2019-01-14,114.17,130.05,113.94,126.95,546420.40854
2019-01-15,126.95,129.4,116.0,118.95,649020.5297
2019-01-16,118.93,126.88,118.52,121.48,513486.65472
2019-01-17,121.49,122.99,116.8,121.54,447535.22716
2019-01-18,121.56,121.98,117.66,119.17,235646.684
2019-01-19,119.16,125.29,119.14,122.6,323303.79296
2019-01-20,122.61,123.32,115.68,117.47,451792.85352
2019-01-21,117.56,118.5,113.61,115.63,303632.93463
2019-01-22,115.62,119.49,111.39,117.81,359542.63873
2019-01-23,117.8,118.95,114.8,116.44,230247.61578
2019-01-24,116.4,117.15,113.61,116.39,216242.29829
2019-01-25,116.4,117.5,114.3,115.11,198617.08108
2019-01-26,115.13,118.0,115.0,115.34,146216.82819
2019-01-27,115.32,116.15,111.04,112.05,247369.60555
2019-01-28,112.04,112.87,100.91,105.5,566205.78288
2019-01-29,105.49,106.61,102.22,104.45,319768.91348
2019-01-30,104.41,109.8,103.45,108.29,330968.19265
2019-01-31,108.29,110.61,105.46,106.44,290679.61935
2019-02-01,106.47,108.35,103.77,106.73,243149.88435
2019-02-02,106.71,111.15,106.07,110.42,186908.7573
2019-02-03,110.41,111.11,105.82,107.36,227211.54064
2019-02-04,107.33,109.3,106.57,107.68,160850.10293
2019-02-05,107.65,108.18,106.47,107.27,159730.1886
2019-02-06,107.28,107.83,101.21,104.5,337204.30254
2019-02-07,104.49,106.18,103.82,104.48,147942.07683
2019-02-08,104.48,123.0,103.41,119.25,589950.64925
2019-02-09,119.32,121.99,117.64,119.19,328067.9574
2019-02-10,119.19,126.49,115.81,125.12,385819.09619
2019-02-11,125.12,125.28,119.24,120.89,389405.30404
2019-02-12,120.88,123.89,118.18,122.41,343765.66987
2019-02-13,122.4,126.47,120.7,121.86,317827.31956
2019-02-14,121.86,124.5,120.1,120.42,297205.78738
2019-02-15,120.47,124.25,120.19,121.67,255296.0814
2019-02-16,121.66,124.99,121.54,122.67,215320.70134
2019-02-17,122.67,135.61,122.43,133.75,614788.60078
2019-02-18,133.77,148.3,132.42,145.69,1079830.1502
2019-02-19,145.69,150.0,142.36,143.44,747968.90445
2019-02-20,143.45,149.52,139.6,148.44,614303.61007
2019-02-21,148.42,149.61,142.7,145.69,447364.40873
2019-02-22,145.68,148.85,143.85,147.36,366251.18542
2019-02-23,147.4,159.6,145.78,157.79,588183.72896
2019-02-24,157.75,166.0,131.7,132.1,1260506.80672
2019-02-25,132.1,141.55,131.89,137.87,801147.09543
2019-02-26,137.88,138.41,133.72,136.22,432944.17033
2019-02-27,136.22,140.29,126.84,135.02,567202.61035
2019-02-28,135.03,139.0,132.1,135.34,579327.31749
2019-03-01,135.32,137.95,134.9,135.32,302632.02831
2019-03-02,135.32,136.12,130.03,132.56,297005.28093
2019-03-03,132.54,134.6,128.01,130.6,222453.2859
2019-03-04,130.6,131.11,122.6,125.65,403947.79445
2019-03-05,125.68,137.84,125.19,136.72,512631.23178
2019-03-06,136.71,140.29,133.33,137.4,428826.87415
2019-03-07,137.37,140.2,135.2,136.81,307336.4931
2019-03-08,136.82,139.34,130.62,133.52,330283.58233
2019-03-09,133.51,138.65,132.93,137.27,279861.12049
2019-03-10,137.27,137.5,134.0,135.37,203965.16815
2019-03-11,135.37,136.15,131.0,132.67,264587.00683
2019-03-12,132.67,135.3,130.77,133.57,194905.96843
2019-03-13,133.62,133.65,130.58,131.65,209456.09848
2019-03-14,131.69,135.11,128.52,132.2,258413.81868
2019-03-15,132.24,137.62,132.18,136.56,295832.26562
2019-03-16,136.6,144.47,136.51,140.92,474664.10197
2019-03-17,140.94,141.07,137.2,138.67,252697.08148
